Match,Round,Agent_Names,Source,Action_Type,Action_Description,Player_Finished,Player_Hands,Board_Before,Board_After,Possible_Actions,Current_Roles,Match_Score,Game_Score,Game_Performance_Score
1,9,,Random0,DISCARD,pass,0.0,[ 6.  7.  8.  9. 10. 10. 10. 11. 11. 11. 11.  0.  0.  0.  0.  0.  0.],[4. 4. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[4. 4. 0. 0. 0. 0. 0. 0. 0. 0. 0.],['pass'],,,,
1,,,Random1,DECLARE_PIZZA,,,,,,,,,,
1,10,,Random1,DISCARD,C8;Q1;J0,0.0,[ 9. 10.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[13.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[8. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"['C8;Q1;J0', 'C9;Q1;J0', 'C10;Q1;J0', 'pass']",,,,
1,10,,Random2,DISCARD,C7;Q2;J0,0.0,[ 8.  8.  8.  9. 10. 10. 10. 10. 11.  0.  0.  0.  0.  0.  0.  0.  0.],[8. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[7. 7. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"['C7;Q1;J0', 'C7;Q2;J0', 'pass']",,,,
1,10,,DQL_ATK,DISCARD,pass,0.0,[ 7.  7.  8.  9. 10. 10.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[7. 7. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[7. 7. 0. 0. 0. 0. 0. 0. 0. 0. 0.],['pass'],,,,
1,10,,Random0,DISCARD,pass,0.0,[ 6.  7.  8.  9. 10. 10. 10. 11. 11. 11. 11.  0.  0.  0.  0.  0.  0.],[7. 7. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[7. 7. 0. 0. 0. 0. 0. 0. 0. 0. 0.],['pass'],,,,
1,10,,Random1,DISCARD,pass,0.0,[ 9. 10.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[7. 7. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[7. 7. 0. 0. 0. 0. 0. 0. 0. 0. 0.],['pass'],,,,
1,,,Random2,DECLARE_PIZZA,,,,,,,,,,
1,11,,Random2,DISCARD,C10;Q1;J0,0.0,[ 8.  8.  8.  9. 10. 10. 10. 11.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[13.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[10.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],"['C8;Q1;J0', 'C8;Q2;J0', 'C8;Q3;J0', 'C9;Q1;J0', 'C10;Q1;J0', 'C10;Q2;J0', 'C10;Q3;J0', 'C10;Q4;J0', 'C11;Q1;J0', 'pass']",,,,
1,11,,DQL_ATK,DISCARD,C7;Q2;J0,0.0,[ 8.  9. 10. 10.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[10.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[7. 7. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"['C7;Q1;J0', 'C7;Q2;J0', 'C8;Q1;J0', 'C9;Q1;J0', 'pass']",,,,
